,Review,Ratings,class
39,"when,husband,told,went,get,breakfast,empanada,son,couldnt,stop,talk,good,I,thought,exagger,empanada,hand,pie,ive,tri,alright,He,forc,come,son,next,day,I,skeptic,place,boy,I,wrong,review,restaur,the,restaur,small,dine,area,clean,quaint,cute,case,flower,tabl,the,ownerstaff,the,owner,incred,nice,help,while,wait,food,brought,chex,mix,cereal,fruit,toddler,I,thought,incred,kind,thought,He,came,check,us,multipl,time,see,need,anyth,see,food,tast,the,food,serious,hand,pie,best,thing,ive,ever,tast,the,shell,flaki,flavor,perfect,thick,didnt,overpow,content,insid,the,fill,tri,green,chile,mac,chees,chicken,pot,pie,ham,cheddar,breakfast,pie,blueberri,lemon,sweet,hand,pie,everi,singl,one,delici,hard,choos,favorit,you,cannot,go,wrong,whichev,hand,pie,choos",Positive,0
40,"I,experienc,cook,baker,empanada,maker,I,littl,picki,I,say,everi,singl,thing,ate,absolut,perfect,I,order,chorizo,hand,pie,realli,empanada,I,got,combin,plate,came,hand,pie,empanada,pasti,side,fresh,fruit,side,I,chose,mac,chees,squash,I,also,order,potato,green,chile,yum,the,chorizo,flavor,mild,No,problem,green,chile,sauc,realli,ad,I,use,sauc,ask,then,I,had,take,jar,home,We,eat,much,use,go,pasti,place,street,time,year,No,place,realli,hit,spot,you,tell,ingredi,fresh,qualiti,ingredi,for,three,us,lunch,probabl,around,3540,not,sure,sinc,took,dessert,pie,home,A,dozen,14,perfect,they,realli,small,that,one,reason,I,like,place,pasti,think,empanada,pie,place,smaller,better,tri,differ,flavor,the,hand,pie,somewhat,small,side,fruit,meal,realli,fill,At,least,three,us,left,full,I,pawn,amaz,potato,daughter,two,side,littl,much,even,touch,dessert,pie,till,later",Positive,0
41,"got,hook,hand,pie,tri,farmer,market,I,found,store,right,hous,ive,coupl,time,sinc,tri,first,hand,pie,ive,adopt,plant,base,diet,onli,reason,4,star,lack,vegetarianvegan,option,pleas,expand,menu,bit,us,dont,want,anim,product",Positive,0
42,"discov,cafe,search,someplac,new,differ,breakfast,morn,three,word,sum,experi,clean,friendli,delici,love,yucatan,pork,stew,lemon,sweet,pie,also,enjoy,chicken,sriracha,hand,pie,well,chorizo,egg,hand,pie,side,hatch,green,chili,sauc,the,sauc,good,bought,two,bottl,take,home,carmen,enjoy,spinach,mushroom,tomato,omelett,hand,pie,ad,creami,potato,chicken,soup,well,definit,back",Positive,0
43,"final,place,may,know,farmer,market,around,phoenix,area,perman,locat,and,happen,neighborhood,tini,littl,place,seat,like,12,peopl,and,servic,vari,laid,back,laid,back,but,nice,defens,sit,around,constantli,work,the,pie,flaki,flavorfu,I,love,get,one,combo,1,sweet1,savori,salad,two,combo,Im,realli,hungri,and,I,take,server,frozen,pie,homeand,time,creme,bruleebecaus,pass,creme,brule,and,believ,Im,tell,never,pass,ON,the,creme,brule,it,die,the,thing,dont,care,short,hour,oper,I,never,go,caus,open,close,time,take,blink,Oh,well,I,suppos,waist,line,appreci",Positive,0
44,"thi,place,awesom,sauceit,street,think,might,troubl,I,green,chili,pork,handpi,amaz,vanilla,creme,brule,also,goodon,decad,creme,brule,ever,hadthi,place,ador,cant,wait,tri,handpi,sweet,savorythey,also,breakfast,handpi,cant,wait,tri,aswellgreat,quick,food,good,pricei,plan,regular",Positive,0
45,"check,spot,breakfast,today,wouldnt,want,hotsavori,hand,pie,breakfast,free,sweet,pie,yelp,check,I,order,three,hand,pie,mapl,bacon,turkey,sausag,ham,chees,group,plu,lemon,cherri,sweet,hand,pie,sinc,pie,togo,take,approx,5,min,bake,your,super,rush,keep,mind,they,place,aluminum,foil,wrapper,trap,heat,realli,nice,the,pie,high,low,the,crust,pie,amaz,point,group,came,agreement,fill,good,noth,spectacular,perhap,come,one,hand,pie,special,lunch,menu,might,better,At,end,day,food,good,worth,price,hand,pie,term,effort,ingredi,put,howev,your,look,bang,buck,heart,quantiti,food,place,might",Positive,0
46,"My,husband,I,went,check,spot,lunch,today,everyth,tri,delici,I,green,chili,pork,hand,pie,side,mac,chees,the,hatch,green,chili,sauc,side,incred,cilantro,lime,sour,cream,My,husband,tri,hot,brown,turkey,breast,bacon,tomato,hand,pie,italian,sausag,potato,chowder,soup,the,hand,pie,best,pastri,weve,ever,the,portion,didnt,look,big,first,us,left,feel,satisfi,I,want,tri,sea,salt,carmel,crème,brule,full,time,done,eat,thi,quaint,locat,doesnt,look,like,much,outsid,favor,ventur,worth,I,cant,wait,go,back,tri,item,menu,yum",Positive,0
47,"realli,delici,food,quaint,locat,plaza,the,decor,could,better,kind,thought,amaz,food,I,pretti,much,ate,whole,menu,also,flavor,cream,brûlée,Im,huge,fatti",Positive,0
48,"just,tri,first,time,amaz,tri,breakfast,hand,pie,sooooo,good,ill,back,lunch,dinner,good,job,guy",Positive,0
49,"thi,place,amaz,not,food,great,custom,servic,top,notch,must,tri,green,chili,pork,I,would,definit,recommend,place",Positive,0
50,"there,time,life,someth,exce,expect,sadli,lose,virgin,wasnt,one,time,but,I,digress,My,wife,drive,spot,quit,time,final,decid,look,yelp,she,like,review,told,fast,forward,today,run,errand,I,spot,place,said,hey,let,give,tri,first,smell,walk,ahhhhmaz,It,bake,day,gentleman,counter,call,anyway,end,order,5,pie,box,mini,sweet,pie,We,tri,one,mini,way,back,offic,needless,say,1,turn,6,got,back,work,that,good,then,savori,main,pie,holi,sht,flaki,delici,crust,envelop,incred,flavor,To,quot,simpson,it,like,there,parti,mouth,everyon,invit,the,El,cubano,fav,chicken,parm,amaz,good,My,wife,love,green,chile,pork,also,chicken,pot,pie,our,cowork,realli,enjoy,spinach,chees,and,due,beg,share,bite,cowork,enjoy,much,work,lunch,trip,plan,week,get,your,A,place,that",Positive,0
51,"hand,one,new,fav,place,chandler,the,food,uniqu,tast,I,love,hidden,gem,sure,staff,grea",Positive,0
52,"thi,review,restaur,experi,the,environ,servic,good,ill,get,right,food,I,6,green,pork,chili,hand,piechocol,creme,brule,combo,the,price,low,absolut,scale,portion,size,reflect,It,satisfi,averag,hunger,size,fast,food,place,restaur,similar,price,point,offer,quit,bit,food,you,get,side,salad,hand,pie,help,next,time,I,would,order,dress,salad,dress,tast,bit,weird,the,hand,pie,creme,brule,tasti,made,care,the,creme,brule,top,thicker,side,flavor,I,like,meal,dine,experi,I,would,like,return",Positive,0
53,"amazingli,delici,tast,great,fresh,taken,home,freez,eat,later,owner,great,friendli,well,sausag,pepper,person,favorit",Positive,0
54,"pick,two,pumpkin,one,appl,hand,pie,chandler,farmer,market,thursday,Oh,good,good,the,pumpkin,good,sweet,fill,fresh,pumpkin,can,the,appl,amaz,Im,picki,person,come,fresh,appl,dessert,yummi,definit,new,favorit",Positive,0
55,"I,found,place,discount,offer,gym,given,So,also,close,gym,hous,I,work,conveni,I,went,one,time,lunch,got,tuna,wrap,coconut,protein,ball,the,second,time,I,got,turkey,meatbal,coconut,protein,ball,well,piec,strawberri,cheesecak,later,all,item,amaz,I,would,go,back,anytim,especi,varieti,cheesecak,amaz,one,piec,150,cal,incred,the,tuna,wrap,yummi,I,like,turkey,meatbal,much,werent,good,I,like,lot,season,spice,tast,kind,bland,I,definit,go,go,back,get,protein,ball,they,big,park,four,piec,the,staff,amazingli,friendli,and,second,time,I,walk,girl,work,recogn,super,awesom,experi,I,recommend,thi,place,alreadi,multipl,peopl",Positive,0
56,"the,staff,incred,friendli,food,alway,fresh,I,love,come,also,super,cute,insid,restaur,lot,inform,heath,benefit,sweet,potato,pretti,cool",Positive,0
57,"went,back,quinoa,bowlit,tasti,mom,granola,fruit,bowl,also,good,they,nice,accomod,cute,atmospher",Positive,0
58,"had,fruit,salad,bowl,w,sweet,potato,underneath,fresh,spinach,walnut,w,hous,poppyse,dressingveri,fresh,organ,littl,pricey,8,Id,also,strawberri,yogurt,parfait,w,granola,fresh",Positive,0
59,"when,I,review,adi,cafe,4month,ago,I,write,posit,experi,Up,recent,lunch,checkin,consist,wonder,I,recommend,place,sever,cowork,today,lunch,I,order,turkey,burger,sandwich,two,thick,slice,sweet,potato,rather,bun,ive,order,delici,when,I,present,food,I,could,tell,differ,lettuc,differ,seem,runni,upon,cut,open,turkey,patti,I,saw,liquid,uncook,meat,turn,So,I,walk,counter,address,food,thoroughli,cook,the,immedi,reaction,staff,excus,defens,approach,oh,cook,paprika,that,probabl,itinstead,examin,meat,see,truli,halfcook,then,realiz,need,cook,sent,back,kitchen,after,minut,pass,I,greet,exact,meal,I,serv,ye,that,right,turkey,patti,I,cut,half,sweet,potato,slice,top,togeth,pass,brand,new,I,understand,wast,never,dine,experi,I,serv,origin,dish,anyth,question,and,usual,met,apolog,defens,approach,I,beyond,disappoint,lack,care,decid,today,would,last,visit,hope,cowork,ive,sent,dont,share,experi,order",Negative,1
60,"healthi,delici,food,super,friendli,staff,It,first,time,eat,sweet,potato,noodl,amaz,especi,mix,thai,salad,I,highli,recommend,get,coconut,ball,dessert,wont,regret",Positive,0
61,"veri,nice,place,octavia,stephani,help,amaz,smoothi,back,soon,keep,good,work,wa,littl,unsur,sweet,potato,smoothi,work,they,someth,everyon,five,star,around,thank",Positive,0
62,"ive,time,I,usual,order,sweet,potato,wrap,chicken,avocado,spinach,thi,time,I,want,tri,someth,differ,I,look,menu,onlin,the,thai,peanut,sweet,potato,noodl,look,appeal,imag,post,menu,It,list,8,add,chicken,addit,2,So,that,I,decid,order,along,strawberri,kiwi,detox,water,My,total,came,14,chang,I,order,pick,I,take,back,work,I,pick,order,staff,courteou,when,I,got,back,work,I,look,food,not,advertis,menu,onlin,It,extrem,cold,cube,chicken,ad,dri,cold,the,tast,sauc,awkward,bland,everyth,kinda,mush,togeth,like,typic,potato,salad,It,actual,noodl,imag,I,seen,onlin,shredsstrip,sweet,potato,the,strawberri,kiwi,detox,water,overload,fruit,I,could,barley,stir,straw,around,get,littl,amount,water,cup,when,I,call,told,I,satisfi,order,girl,answer,phone,kind,shook,she,show,strong,custom,servic,qualiti,make,situat,better,overal,Im,sad,say,unsatisfactori,visit,I,dont,think,I,spend,money",Negative,1
63,"sweet,potato,chicken,taco,veri,good,ive,never,sweet,potato,tortilla,salsa,season,chicken,delici,even,better,I,dont,feel,full,eat,the,cashier,sweet,kind,sinc,first,time,patient,guid,tasti,option,definit,come,back",Positive,0
64,"super,cute,place,friendlyknowledg,staff,great,healthi,food,smoothi,option,wish,I,wouldv,stop,sooner",Positive,0
65,"gluten,free,low,carb,ad,fat,ad,sugar,sweet,potato,everyth,great,concept,No,sugar,ad,item,I,learn,longer,cookbak,sweet,potato,sweeter,get,get,sweet,they,use,white,sweet,potato,item,display,throughout,place,Of,cours,I,tri,sweet,potato,latt,5,ok,adi,offer,smoothi,breakfast,bowl,salad,crepe,wrap,coffe,tea,healthi,food,I,came,lunch,time,decid,tri,one,specialschicken,taco,sweet,potato,tortilla,the,tortilla,felt,like,mix,tortilla,pancak,It,fell,apart,easili,food,amaz,even,salsa,came,the,gal,gave,sampl,banana,sweet,potatocinnamon,muffinperfectli,moist,littl,bit,sweet,I,purchas,muffin,sweet,potato,energi,bar,To,Go,I,definit,back,tri,item,the,restaur,bright,nice,decor,love,teal,they,open,saturday",Positive,0
66,"La,comida,muy,rica,el,servicio,excelent,ordenamo,bowl,de,avena,bowl,açai,toast,de,aguac,omelet,crepa,todo,estuvo,muy,rico,gran,experiencia,totalment,recomend",Positive,0
67,"sweet,potato,I,love,incorpor,sweet,potato,menu,smoothi,pasta,I,recent,tri,spaghetti,bolognes,the,spaghetti,made,sweet,potato,spiral,it,unexpectedli,good",Positive,0
68,"I,hate,bad,review,cuz,I,use,love,place,2,day,ago,I,mistreat,call,manag,giorgio,I,kindli,ask,cashier,strawberri,girl,alway,profession,kind,cuz,drink,2,mini,slice,girl,said,sure,problem,manag,step,liter,went,giorgio,U,custom,servic,skill,mistreat,custom,like,I,back,I,take,money,els,cuz,even,though,I,like,food,I,cannot,stand,asshol,Im,old,throughout,life,I,never,treat,like,anywher,els,sadden,see,good,place,healthi,food,stupid,manag,charg",Negative,1
69,"excel,servic,the,açaí,sweet,potato,breakfast,bowl,absolut,delici,In,infam,word,termin,ill,back",Positive,0
70,"great,stuff,excel,servic,realli,nice,abl,eat,peopl,gluten,sensit,enjoy,food,love,tuna,wrap,cant,wait,tri",Positive,0
71,"ye,sweet,potato,nope,yam,these,two,alik,adi,howev,stand,town,array,franchis,here,veget,sweet,potato,right,sweet,potato,latt,My,favorit,recommend,sweet,potato,bolognes,hearti,healthi,healthier,bake,potato,ye,inde,satisfi,tast,bud,crepe,healthi,crepe,ye,healthi,adi,ive,cocoa,cream,one,sweet,savori,detox,one,infus,water,ye,water,twist,My,favorit,blueberri,lime,differ,tantal,tast,bud,the,sweet,potato,wedg,crispi,roast,side,quit,fill,good,way,appar,healthier,fri",Positive,0
